channel_name
Line 02 - 25_Total Reactive Power/Terminal i in Mvar
Line 03 - 04_Total Reactive Power/Terminal i in Mvar
Line 03 - 18_Total Reactive Power/Terminal i in Mvar
Line 04 - 05_Total Reactive Power/Terminal i in Mvar
Line 04 - 14_Total Reactive Power/Terminal i in Mvar
Line 05 - 06_Total Reactive Power/Terminal i in Mvar
Line 05 - 08_Total Reactive Power/Terminal i in Mvar
Line 06 - 07_Total Reactive Power/Terminal i in Mvar
Line 06 - 11_Total Reactive Power/Terminal i in Mvar
Line 07 - 08_Total Reactive Power/Terminal i in Mvar
Line 08 - 09_Total Reactive Power/Terminal i in Mvar
Line 09 - 39_Total Reactive Power/Terminal i in Mvar
Line 10 - 11_Total Reactive Power/Terminal i in Mvar
Line 10 - 13_Total Reactive Power/Terminal i in Mvar
Line 13 - 14_Total Reactive Power/Terminal i in Mvar
Line 14 - 15_Total Reactive Power/Terminal i in Mvar
Line 15 - 16_Total Reactive Power/Terminal i in Mvar
Line 16 - 17_Total Reactive Power/Terminal i in Mvar
Line 16 - 19_Total Reactive Power/Terminal i in Mvar
Line 16 - 21_Total Reactive Power/Terminal i in Mvar
Line 16 - 24_Total Reactive Power/Terminal i in Mvar
Line 17 - 18_Total Reactive Power/Terminal i in Mvar
Line 17 - 27_Total Reactive Power/Terminal i in Mvar
Line 21 - 22_Total Reactive Power/Terminal i in Mvar
Line 22 - 23_Total Reactive Power/Terminal i in Mvar
Line 23 - 24_Total Reactive Power/Terminal i in Mvar
Line 25 - 26_Total Reactive Power/Terminal i in Mvar
Line 26 - 27_Total Reactive Power/Terminal i in Mvar
Line 26 - 28_Total Reactive Power/Terminal i in Mvar
Line 26 - 29_Total Reactive Power/Terminal i in Mvar
Line 28 - 29_Total Reactive Power/Terminal i in Mvar
