simulation,faulted_line,first_cascade_time,first_cascade_component,first_cascade_reason,num_cascade_events
Line 28 - 29_load=0.8363_wind=0.6895_0.0241_0.7235,Line 28 - 29,2.25,NSG_2,OverVoltage,1
Line 16 - 19_load=1.1215_wind=0.9595_0.2507_0.0446,Line 16 - 19,2.05,G 05,Over-Speed,18
Line 28 - 29_load=1.1215_wind=0.9595_0.2507_0.0446,Line 28 - 29,1.78,Line 26 - 29DR1,,19
Line 01 - 39_load=0.9993_wind=0.4901_0.0398_0.9629,Line 01 - 39,2.11,NSG_2,OverVoltage,3
Line 02 - 25_load=0.9993_wind=0.4901_0.0398_0.9629,Line 02 - 25,2.21,NSG_2,OverVoltage,1
Line 03 - 04_load=0.9993_wind=0.4901_0.0398_0.9629,Line 03 - 04,1.46,Line 01 - 39DR2,,5
Line 04 - 05_load=0.9993_wind=0.4901_0.0398_0.9629,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9993_wind=0.4901_0.0398_0.9629,Line 05 - 08,2.96,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9993_wind=0.4901_0.0398_0.9629,Line 06 - 07,2.99,Line 01 - 39DR2,,5
Line 06 - 11_load=0.9993_wind=0.4901_0.0398_0.9629,Line 06 - 11,3.03,Line 01 - 39DR2,,4
Line 07 - 08_load=0.9993_wind=0.4901_0.0398_0.9629,Line 07 - 08,1.73,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9993_wind=0.4901_0.0398_0.9629,Line 08 - 09,1.91,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9993_wind=0.4901_0.0398_0.9629,Line 09 - 39,1.99,Line 01 - 02DR1,,4
Line 10 - 11_load=0.9993_wind=0.4901_0.0398_0.9629,Line 10 - 11,3.01,Line 01 - 39DR2,,4
Line 10 - 13_load=0.9993_wind=0.4901_0.0398_0.9629,Line 10 - 13,1.47,Line 01 - 39DR2,,5
Line 13 - 14_load=0.9993_wind=0.4901_0.0398_0.9629,Line 13 - 14,1.47,Line 01 - 39DR2,,5
Line 15 - 16_load=0.9993_wind=0.4901_0.0398_0.9629,Line 15 - 16,2.05,NSG_2,OverVoltage,4
Line 16 - 17_load=0.9993_wind=0.4901_0.0398_0.9629,Line 16 - 17,1.87,Line 01 - 39DR2,,5
Line 16 - 19_load=0.9993_wind=0.4901_0.0398_0.9629,Line 16 - 19,1.82,G 04,Over-Speed,20
Line 16 - 21_load=0.9993_wind=0.4901_0.0398_0.9629,Line 16 - 21,2.18,NSG_2,OverVoltage,4
Line 16 - 24_load=0.9993_wind=0.4901_0.0398_0.9629,Line 16 - 24,3.01,Line 01 - 39DR2,,4
Line 17 - 18_load=0.9993_wind=0.4901_0.0398_0.9629,Line 17 - 18,2.2,NSG_2,OverVoltage,1
Line 21 - 22_load=0.9993_wind=0.4901_0.0398_0.9629,Line 21 - 22,2.09,Line 23 - 24DR2,,67
Line 26 - 29_load=0.9993_wind=0.4901_0.0398_0.9629,Line 26 - 29,2.34,NSG_2,OverVoltage,1
Line 28 - 29_load=0.9993_wind=0.4901_0.0398_0.9629,Line 28 - 29,1.66,Line 26 - 29DR1,,19
Line 01 - 02_load=0.9389_wind=0.9752_0.0296_0.0582,Line 01 - 02,1.7,Line 08 - 09DR1,,3
Line 01 - 39_load=0.9389_wind=0.9752_0.0296_0.0582,Line 01 - 39,1.83,Line 08 - 09DR1,,4
Line 02 - 25_load=0.9389_wind=0.9752_0.0296_0.0582,Line 02 - 25,2.2,NSG_2,OverVoltage,14
Line 03 - 04_load=0.9389_wind=0.9752_0.0296_0.0582,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 04 - 05_load=0.9389_wind=0.9752_0.0296_0.0582,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 06_load=0.9389_wind=0.9752_0.0296_0.0582,Line 05 - 06,1.46,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9389_wind=0.9752_0.0296_0.0582,Line 05 - 08,1.47,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9389_wind=0.9752_0.0296_0.0582,Line 06 - 07,1.46,Line 01 - 39DR2,,5
