simulation,faulted_line,first_cascade_time,first_cascade_component,first_cascade_reason,num_cascade_events
Line 28 - 29_load=1.1824_wind=0.8901_0.6704_0.8452,Line 28 - 29,1.77,Line 26 - 29DR1,,19
Line 01 - 02_load=0.9433_wind=0.0235_0.6344_0.1357,Line 01 - 02,1.68,Line 08 - 09DR1,,3
Line 01 - 39_load=0.9433_wind=0.0235_0.6344_0.1357,Line 01 - 39,2.07,NSG_2,OverVoltage,3
Line 02 - 03_load=0.9433_wind=0.0235_0.6344_0.1357,Line 02 - 03,3.06,Line 01 - 39DR2,,4
Line 02 - 25_load=0.9433_wind=0.0235_0.6344_0.1357,Line 02 - 25,2.25,NSG_2,OverVoltage,18
Line 03 - 04_load=0.9433_wind=0.0235_0.6344_0.1357,Line 03 - 04,1.47,Line 01 - 39DR2,,4
Line 04 - 05_load=0.9433_wind=0.0235_0.6344_0.1357,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 06_load=0.9433_wind=0.0235_0.6344_0.1357,Line 05 - 06,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9433_wind=0.0235_0.6344_0.1357,Line 05 - 08,1.47,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9433_wind=0.0235_0.6344_0.1357,Line 06 - 07,1.46,Line 01 - 39DR2,,5
Line 06 - 11_load=0.9433_wind=0.0235_0.6344_0.1357,Line 06 - 11,2.23,NSG_2,OverVoltage,5
Line 07 - 08_load=0.9433_wind=0.0235_0.6344_0.1357,Line 07 - 08,1.47,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9433_wind=0.0235_0.6344_0.1357,Line 08 - 09,1.99,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9433_wind=0.0235_0.6344_0.1357,Line 09 - 39,2.19,Line 01 - 02DR1,,4
Line 10 - 11_load=0.9433_wind=0.0235_0.6344_0.1357,Line 10 - 11,3.05,Line 01 - 39DR2,,4
Line 10 - 13_load=0.9433_wind=0.0235_0.6344_0.1357,Line 10 - 13,1.47,Line 01 - 39DR2,,5
Line 13 - 14_load=0.9433_wind=0.0235_0.6344_0.1357,Line 13 - 14,1.46,Line 01 - 39DR2,,5
Line 15 - 16_load=0.9433_wind=0.0235_0.6344_0.1357,Line 15 - 16,2.13,NSG_2,OverVoltage,1
Line 16 - 17_load=0.9433_wind=0.0235_0.6344_0.1357,Line 16 - 17,1.98,Line 01 - 39DR2,,5
Line 16 - 19_load=0.9433_wind=0.0235_0.6344_0.1357,Line 16 - 19,1.76,G 05,Over-Speed,17
Line 16 - 21_load=0.9433_wind=0.0235_0.6344_0.1357,Line 16 - 21,2.16,NSG_2,OverVoltage,1
Line 16 - 24_load=0.9433_wind=0.0235_0.6344_0.1357,Line 16 - 24,2.11,NSG_2,OverVoltage,1
Line 17 - 18_load=0.9433_wind=0.0235_0.6344_0.1357,Line 17 - 18,2.12,NSG_2,OverVoltage,1
Line 21 - 22_load=0.9433_wind=0.0235_0.6344_0.1357,Line 21 - 22,2.03,Line 23 - 24DR2,,53
Line 23 - 24_load=0.9433_wind=0.0235_0.6344_0.1357,Line 23 - 24,3.13,Line 01 - 39DR2,,4
Line 25 - 26_load=0.9433_wind=0.0235_0.6344_0.1357,Line 25 - 26,2.17,NSG_2,OverVoltage,1
Line 26 - 28_load=0.9433_wind=0.0235_0.6344_0.1357,Line 26 - 28,2.28,NSG_2,OverVoltage,1
Line 26 - 29_load=0.9433_wind=0.0235_0.6344_0.1357,Line 26 - 29,2.35,NSG_2,OverVoltage,1
Line 28 - 29_load=0.9433_wind=0.0235_0.6344_0.1357,Line 28 - 29,1.66,Line 26 - 29DR1,,19
Line 01 - 02_load=1.0399_wind=0.6133_0.7616_0.4568,Line 01 - 02,1.63,Line 08 - 09DR1,,3
Line 01 - 39_load=1.0399_wind=0.6133_0.7616_0.4568,Line 01 - 39,2.01,NSG_2,OverVoltage,3
Line 02 - 03_load=1.0399_wind=0.6133_0.7616_0.4568,Line 02 - 03,2.95,Line 01 - 39DR2,,4
Line 02 - 25_load=1.0399_wind=0.6133_0.7616_0.4568,Line 02 - 25,2.28,NSG_2,OverVoltage,80
Line 03 - 04_load=1.0399_wind=0.6133_0.7616_0.4568,Line 03 - 04,1.44,Line 01 - 39DR2,,5
Line 03 - 18_load=1.0399_wind=0.6133_0.7616_0.4568,Line 03 - 18,3.04,Line 01 - 39DR2,,4
Line 04 - 05_load=1.0399_wind=0.6133_0.7616_0.4568,Line 04 - 05,1.75,Line 01 - 39DR2,,4
Line 04 - 14_load=1.0399_wind=0.6133_0.7616_0.4568,Line 04 - 14,3.01,Line 01 - 39DR2,,4
Line 05 - 06_load=1.0399_wind=0.6133_0.7616_0.4568,Line 05 - 06,2.96,Line 01 - 39DR2,,4
Line 05 - 08_load=1.0399_wind=0.6133_0.7616_0.4568,Line 05 - 08,2.96,Line 01 - 39DR2,,5
Line 06 - 07_load=1.0399_wind=0.6133_0.7616_0.4568,Line 06 - 07,2.98,Line 01 - 39DR2,,4
Line 06 - 11_load=1.0399_wind=0.6133_0.7616_0.4568,Line 06 - 11,3.04,Line 01 - 39DR2,,4
Line 07 - 08_load=1.0399_wind=0.6133_0.7616_0.4568,Line 07 - 08,2.95,Line 01 - 39DR2,,4
Line 08 - 09_load=1.0399_wind=0.6133_0.7616_0.4568,Line 08 - 09,1.85,Line 01 - 02DR1,,4
Line 09 - 39_load=1.0399_wind=0.6133_0.7616_0.4568,Line 09 - 39,1.93,Line 01 - 02DR1,,4
Line 10 - 11_load=1.0399_wind=0.6133_0.7616_0.4568,Line 10 - 11,2.98,Line 01 - 39DR2,,4
Line 10 - 13_load=1.0399_wind=0.6133_0.7616_0.4568,Line 10 - 13,2.95,Line 01 - 39DR2,,4
Line 13 - 14_load=1.0399_wind=0.6133_0.7616_0.4568,Line 13 - 14,2.95,Line 01 - 39DR2,,4
Line 14 - 15_load=1.0399_wind=0.6133_0.7616_0.4568,Line 14 - 15,3.28,Line 01 - 39DR2,,4
Line 15 - 16_load=1.0399_wind=0.6133_0.7616_0.4568,Line 15 - 16,2.12,NSG_2,OverVoltage,21
Line 16 - 17_load=1.0399_wind=0.6133_0.7616_0.4568,Line 16 - 17,2.04,Line 01 - 39DR2,,5
Line 16 - 19_load=1.0399_wind=0.6133_0.7616_0.4568,Line 16 - 19,1.89,G 04,Over-Speed,20
Line 16 - 21_load=1.0399_wind=0.6133_0.7616_0.4568,Line 16 - 21,2.21,NSG_2,OverVoltage,18
Line 16 - 24_load=1.0399_wind=0.6133_0.7616_0.4568,Line 16 - 24,2.94,Line 01 - 39DR2,,4
Line 21 - 22_load=1.0399_wind=0.6133_0.7616_0.4568,Line 21 - 22,2.19,Line 23 - 24DR2,,57
Line 22 - 23_load=1.0399_wind=0.6133_0.7616_0.4568,Line 22 - 23,3.0,Line 01 - 39DR2,,4
Line 23 - 24_load=1.0399_wind=0.6133_0.7616_0.4568,Line 23 - 24,3.09,Line 01 - 39DR2,,4
Line 25 - 26_load=1.0399_wind=0.6133_0.7616_0.4568,Line 25 - 26,3.08,Line 01 - 39DR2,,4
Line 26 - 27_load=1.0399_wind=0.6133_0.7616_0.4568,Line 26 - 27,2.92,Line 01 - 39DR2,,4
Line 26 - 28_load=1.0399_wind=0.6133_0.7616_0.4568,Line 26 - 28,3.21,Line 01 - 39DR2,,4
Line 26 - 29_load=1.0399_wind=0.6133_0.7616_0.4568,Line 26 - 29,2.4,NSG_2,OverVoltage,18
Line 28 - 29_load=1.0399_wind=0.6133_0.7616_0.4568,Line 28 - 29,1.68,Line 26 - 29DR1,,19
Line 01 - 02_load=1.1158_wind=0.3235_0.6602_0.5806,Line 01 - 02,2.93,NSG_2,OverVoltage,1
Line 09 - 39_load=1.1158_wind=0.3235_0.6602_0.5806,Line 09 - 39,1.79,Line 01 - 39DR2,,2
Line 16 - 19_load=1.1158_wind=0.3235_0.6602_0.5806,Line 16 - 19,2.05,G 05,Over-Speed,18
Line 28 - 29_load=1.1158_wind=0.3235_0.6602_0.5806,Line 28 - 29,1.76,Line 26 - 29DR1,,19
Line 01 - 02_load=0.9468_wind=0.1813_0.7391_0.3738,Line 01 - 02,1.69,Line 08 - 09DR1,,3
Line 01 - 39_load=0.9468_wind=0.1813_0.7391_0.3738,Line 01 - 39,2.09,NSG_2,OverVoltage,3
Line 02 - 25_load=0.9468_wind=0.1813_0.7391_0.3738,Line 02 - 25,2.23,NSG_2,OverVoltage,18
Line 03 - 04_load=0.9468_wind=0.1813_0.7391_0.3738,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 04 - 05_load=0.9468_wind=0.1813_0.7391_0.3738,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9468_wind=0.1813_0.7391_0.3738,Line 05 - 08,1.8,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9468_wind=0.1813_0.7391_0.3738,Line 06 - 07,3.07,Line 01 - 39DR2,,4
Line 06 - 11_load=0.9468_wind=0.1813_0.7391_0.3738,Line 06 - 11,3.11,Line 01 - 39DR2,,4
Line 07 - 08_load=0.9468_wind=0.1813_0.7391_0.3738,Line 07 - 08,1.46,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9468_wind=0.1813_0.7391_0.3738,Line 08 - 09,1.95,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9468_wind=0.1813_0.7391_0.3738,Line 09 - 39,2.1,Line 01 - 02DR1,,4
Line 10 - 11_load=0.9468_wind=0.1813_0.7391_0.3738,Line 10 - 11,3.09,Line 01 - 39DR2,,4
Line 10 - 13_load=0.9468_wind=0.1813_0.7391_0.3738,Line 10 - 13,1.47,Line 01 - 39DR2,,5
Line 13 - 14_load=0.9468_wind=0.1813_0.7391_0.3738,Line 13 - 14,1.47,Line 01 - 39DR2,,5
Line 14 - 15_load=0.9468_wind=0.1813_0.7391_0.3738,Line 14 - 15,3.16,Line 01 - 39DR2,,4
Line 15 - 16_load=0.9468_wind=0.1813_0.7391_0.3738,Line 15 - 16,2.14,NSG_2,OverVoltage,18
Line 16 - 17_load=0.9468_wind=0.1813_0.7391_0.3738,Line 16 - 17,2.41,NSG_2,OverVoltage,19
Line 16 - 19_load=0.9468_wind=0.1813_0.7391_0.3738,Line 16 - 19,1.82,G 04,Over-Speed,18
Line 16 - 21_load=0.9468_wind=0.1813_0.7391_0.3738,Line 16 - 21,2.16,NSG_2,OverVoltage,18
Line 16 - 24_load=0.9468_wind=0.1813_0.7391_0.3738,Line 16 - 24,2.13,NSG_2,OverVoltage,18
Line 17 - 18_load=0.9468_wind=0.1813_0.7391_0.3738,Line 17 - 18,2.16,NSG_2,OverVoltage,18
Line 21 - 22_load=0.9468_wind=0.1813_0.7391_0.3738,Line 21 - 22,1.98,Line 23 - 24DR2,,77
Line 25 - 26_load=0.9468_wind=0.1813_0.7391_0.3738,Line 25 - 26,2.18,NSG_2,OverVoltage,18
Line 26 - 28_load=0.9468_wind=0.1813_0.7391_0.3738,Line 26 - 28,2.28,NSG_2,OverVoltage,18
Line 26 - 29_load=0.9468_wind=0.1813_0.7391_0.3738,Line 26 - 29,2.39,NSG_2,OverVoltage,18
Line 28 - 29_load=0.9468_wind=0.1813_0.7391_0.3738,Line 28 - 29,1.65,Line 26 - 29DR1,,19
Line 16 - 19_load=1.1656_wind=0.3602_0.0262_0.565,Line 16 - 19,2.2,G 05,Over-Speed,18
Line 28 - 29_load=1.1656_wind=0.3602_0.0262_0.565,Line 28 - 29,1.84,Line 26 - 29DR1,,19
Line 09 - 39_load=1.1093_wind=0.6412_0.1534_0.582,Line 09 - 39,1.91,Line 01 - 39DR2,,2
Line 16 - 19_load=1.1093_wind=0.6412_0.1534_0.582,Line 16 - 19,2.04,G 05,Over-Speed,18
Line 28 - 29_load=1.1093_wind=0.6412_0.1534_0.582,Line 28 - 29,1.76,Line 26 - 29DR1,,19
Line 16 - 19_load=1.1155_wind=0.6364_0.1949_0.4017,Line 16 - 19,2.05,G 05,Over-Speed,18
Line 28 - 29_load=1.1155_wind=0.6364_0.1949_0.4017,Line 28 - 29,1.77,Line 26 - 29DR1,,19
Line 01 - 02_load=1.1411_wind=0.2983_0.865_0.8793,Line 01 - 02,2.48,Line 08 - 09DR1,,4
Line 01 - 39_load=1.1411_wind=0.2983_0.865_0.8793,Line 01 - 39,5.28,G 02,UV,25
Line 09 - 39_load=1.1411_wind=0.2983_0.865_0.8793,Line 09 - 39,2.34,Line 01 - 39DR2,,3
Line 16 - 19_load=1.1411_wind=0.2983_0.865_0.8793,Line 16 - 19,2.13,G 05,Over-Speed,18
Line 28 - 29_load=1.1411_wind=0.2983_0.865_0.8793,Line 28 - 29,1.76,Line 26 - 29DR1,,19
Line 01 - 02_load=0.9416_wind=0.8139_0.5575_0.1765,Line 01 - 02,1.7,Line 08 - 09DR1,,3
Line 01 - 39_load=0.9416_wind=0.8139_0.5575_0.1765,Line 01 - 39,1.84,Line 08 - 09DR1,,4
Line 02 - 25_load=0.9416_wind=0.8139_0.5575_0.1765,Line 02 - 25,2.2,NSG_2,OverVoltage,18
Line 03 - 04_load=0.9416_wind=0.8139_0.5575_0.1765,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 04 - 05_load=0.9416_wind=0.8139_0.5575_0.1765,Line 04 - 05,1.46,Line 01 - 39DR2,,5
Line 05 - 06_load=0.9416_wind=0.8139_0.5575_0.1765,Line 05 - 06,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9416_wind=0.8139_0.5575_0.1765,Line 05 - 08,1.46,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9416_wind=0.8139_0.5575_0.1765,Line 06 - 07,1.47,Line 01 - 39DR2,,5
Line 06 - 11_load=0.9416_wind=0.8139_0.5575_0.1765,Line 06 - 11,3.13,Line 01 - 39DR2,,4
Line 07 - 08_load=0.9416_wind=0.8139_0.5575_0.1765,Line 07 - 08,1.47,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9416_wind=0.8139_0.5575_0.1765,Line 08 - 09,1.97,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9416_wind=0.8139_0.5575_0.1765,Line 09 - 39,2.12,Line 01 - 02DR1,,4
Line 10 - 13_load=0.9416_wind=0.8139_0.5575_0.1765,Line 10 - 13,1.47,Line 01 - 39DR2,,5
Line 13 - 14_load=0.9416_wind=0.8139_0.5575_0.1765,Line 13 - 14,1.46,Line 01 - 39DR2,,5
Line 15 - 16_load=0.9416_wind=0.8139_0.5575_0.1765,Line 15 - 16,2.1,NSG_2,OverVoltage,1
Line 16 - 17_load=0.9416_wind=0.8139_0.5575_0.1765,Line 16 - 17,2.35,NSG_2,OverVoltage,13
Line 16 - 19_load=0.9416_wind=0.8139_0.5575_0.1765,Line 16 - 19,1.85,G 04,Over-Speed,18
Line 16 - 21_load=0.9416_wind=0.8139_0.5575_0.1765,Line 16 - 21,2.17,NSG_2,OverVoltage,1
Line 17 - 18_load=0.9416_wind=0.8139_0.5575_0.1765,Line 17 - 18,2.2,NSG_2,OverVoltage,1
Line 21 - 22_load=0.9416_wind=0.8139_0.5575_0.1765,Line 21 - 22,2.37,NSG_2,OverVoltage,20
Line 26 - 28_load=0.9416_wind=0.8139_0.5575_0.1765,Line 26 - 28,2.37,NSG_2,OverVoltage,1
Line 26 - 29_load=0.9416_wind=0.8139_0.5575_0.1765,Line 26 - 29,2.33,NSG_2,OverVoltage,1
Line 28 - 29_load=0.9416_wind=0.8139_0.5575_0.1765,Line 28 - 29,1.73,Line 26 - 29DR1,,19
Line 16 - 19_load=1.1667_wind=0.2051_0.699_0.2561,Line 16 - 19,2.2,G 05,Over-Speed,18
Line 28 - 29_load=1.1667_wind=0.2051_0.699_0.2561,Line 28 - 29,1.83,Line 26 - 29DR1,,19
Line 01 - 02_load=1.1465_wind=0.9207_0.4854_0.9378,Line 01 - 02,1.99,Line 08 - 09DR1,,4
Line 01 - 39_load=1.1465_wind=0.9207_0.4854_0.9378,Line 01 - 39,2.36,Line 08 - 09DR1,,4
Line 02 - 03_load=1.1465_wind=0.9207_0.4854_0.9378,Line 02 - 03,1.45,Line 01 - 39DR2,,5
Line 08 - 09_load=1.1465_wind=0.9207_0.4854_0.9378,Line 08 - 09,7.42,Line 01 - 39DR2,,3
Line 09 - 39_load=1.1465_wind=0.9207_0.4854_0.9378,Line 09 - 39,2.68,Line 01 - 39DR2,,3
Line 16 - 19_load=1.1465_wind=0.9207_0.4854_0.9378,Line 16 - 19,2.14,G 05,Over-Speed,18
Line 21 - 22_load=1.1465_wind=0.9207_0.4854_0.9378,Line 21 - 22,2.5,NSG_2,OverVoltage,18
Line 28 - 29_load=1.1465_wind=0.9207_0.4854_0.9378,Line 28 - 29,1.73,Line 26 - 29DR1,,19
Line 01 - 02_load=1.0793_wind=0.5126_0.7473_0.2139,Line 01 - 02,2.01,Line 08 - 09DR1,,4
Line 01 - 39_load=1.0793_wind=0.5126_0.7473_0.2139,Line 01 - 39,2.4,Line 08 - 09DR1,,4
Line 02 - 03_load=1.0793_wind=0.5126_0.7473_0.2139,Line 02 - 03,1.45,Line 01 - 39DR2,,5
Line 02 - 25_load=1.0793_wind=0.5126_0.7473_0.2139,Line 02 - 25,2.26,NSG_2,OverVoltage,18
Line 08 - 09_load=1.0793_wind=0.5126_0.7473_0.2139,Line 08 - 09,6.93,Line 01 - 39DR2,,3
Line 09 - 39_load=1.0793_wind=0.5126_0.7473_0.2139,Line 09 - 39,2.34,Line 01 - 39DR2,,3
Line 15 - 16_load=1.0793_wind=0.5126_0.7473_0.2139,Line 15 - 16,2.2,NSG_2,OverVoltage,18
Line 16 - 19_load=1.0793_wind=0.5126_0.7473_0.2139,Line 16 - 19,1.96,G 04,Over-Speed,20
Line 21 - 22_load=1.0793_wind=0.5126_0.7473_0.2139,Line 21 - 22,2.42,NSG_2,OverVoltage,18
Line 28 - 29_load=1.0793_wind=0.5126_0.7473_0.2139,Line 28 - 29,1.72,Line 26 - 29DR1,,19
Line 01 - 02_load=0.829_wind=0.45_0.2412_0.9895,Line 01 - 02,1.98,Line 08 - 09DR1,,4
Line 01 - 39_load=0.829_wind=0.45_0.2412_0.9895,Line 01 - 39,2.2,Line 08 - 09DR1,,4
Line 02 - 25_load=0.829_wind=0.45_0.2412_0.9895,Line 02 - 25,2.19,NSG_2,OverVoltage,1
Line 08 - 09_load=0.829_wind=0.45_0.2412_0.9895,Line 08 - 09,2.76,Line 01 - 02DR1,,4
Line 09 - 39_load=0.829_wind=0.45_0.2412_0.9895,Line 09 - 39,2.82,Line 01 - 39DR2,,3
Line 15 - 16_load=0.829_wind=0.45_0.2412_0.9895,Line 15 - 16,2.07,NSG_2,OverVoltage,1
Line 16 - 19_load=0.829_wind=0.45_0.2412_0.9895,Line 16 - 19,1.85,G 05,Over-Speed,1
Line 28 - 29_load=0.829_wind=0.45_0.2412_0.9895,Line 28 - 29,2.3,NSG_2,OverVoltage,1
Line 01 - 02_load=0.8614_wind=0.9731_0.8194_0.1405,Line 01 - 02,1.82,Line 08 - 09DR1,,4
Line 01 - 39_load=0.8614_wind=0.9731_0.8194_0.1405,Line 01 - 39,1.97,Line 08 - 09DR1,,4
Line 02 - 25_load=0.8614_wind=0.9731_0.8194_0.1405,Line 02 - 25,2.2,NSG_2,OverVoltage,1
Line 06 - 11_load=0.8614_wind=0.9731_0.8194_0.1405,Line 06 - 11,1.69,Line 01 - 39DR2,,5
Line 08 - 09_load=0.8614_wind=0.9731_0.8194_0.1405,Line 08 - 09,2.29,Line 01 - 02DR1,,4
Line 09 - 39_load=0.8614_wind=0.9731_0.8194_0.1405,Line 09 - 39,2.67,Line 01 - 02DR1,,4
Line 15 - 16_load=0.8614_wind=0.9731_0.8194_0.1405,Line 15 - 16,2.15,NSG_2,OverVoltage,1
Line 16 - 19_load=0.8614_wind=0.9731_0.8194_0.1405,Line 16 - 19,1.87,G 05,Over-Speed,1
Line 28 - 29_load=0.8614_wind=0.9731_0.8194_0.1405,Line 28 - 29,2.31,NSG_2,OverVoltage,1
Line 01 - 02_load=0.925_wind=0.6861_0.0901_0.0847,Line 01 - 02,1.7,Line 08 - 09DR1,,3
Line 01 - 39_load=0.925_wind=0.6861_0.0901_0.0847,Line 01 - 39,1.84,Line 08 - 09DR1,,4
Line 02 - 25_load=0.925_wind=0.6861_0.0901_0.0847,Line 02 - 25,2.2,NSG_2,OverVoltage,18
Line 03 - 04_load=0.925_wind=0.6861_0.0901_0.0847,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 03 - 18_load=0.925_wind=0.6861_0.0901_0.0847,Line 03 - 18,2.15,NSG_2,OverVoltage,1
Line 04 - 05_load=0.925_wind=0.6861_0.0901_0.0847,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 06_load=0.925_wind=0.6861_0.0901_0.0847,Line 05 - 06,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=0.925_wind=0.6861_0.0901_0.0847,Line 05 - 08,1.47,Line 01 - 39DR2,,5
Line 06 - 07_load=0.925_wind=0.6861_0.0901_0.0847,Line 06 - 07,1.47,Line 01 - 39DR2,,5
Line 06 - 11_load=0.925_wind=0.6861_0.0901_0.0847,Line 06 - 11,3.11,Line 01 - 39DR2,,4
Line 07 - 08_load=0.925_wind=0.6861_0.0901_0.0847,Line 07 - 08,1.46,Line 01 - 39DR2,,5
Line 08 - 09_load=0.925_wind=0.6861_0.0901_0.0847,Line 08 - 09,1.98,Line 01 - 02DR1,,4
Line 09 - 39_load=0.925_wind=0.6861_0.0901_0.0847,Line 09 - 39,2.16,Line 01 - 02DR1,,4
Line 10 - 11_load=0.925_wind=0.6861_0.0901_0.0847,Line 10 - 11,3.1,Line 01 - 39DR2,,4
Line 10 - 13_load=0.925_wind=0.6861_0.0901_0.0847,Line 10 - 13,1.47,Line 01 - 39DR2,,5
Line 13 - 14_load=0.925_wind=0.6861_0.0901_0.0847,Line 13 - 14,1.47,Line 01 - 39DR2,,5
Line 15 - 16_load=0.925_wind=0.6861_0.0901_0.0847,Line 15 - 16,2.06,NSG_2,OverVoltage,4
Line 16 - 17_load=0.925_wind=0.6861_0.0901_0.0847,Line 16 - 17,2.28,NSG_2,OverVoltage,18
Line 16 - 19_load=0.925_wind=0.6861_0.0901_0.0847,Line 16 - 19,1.76,G 05,Over-Speed,17
Line 16 - 21_load=0.925_wind=0.6861_0.0901_0.0847,Line 16 - 21,2.14,NSG_2,OverVoltage,18
Line 16 - 24_load=0.925_wind=0.6861_0.0901_0.0847,Line 16 - 24,2.08,NSG_2,OverVoltage,1
Line 17 - 18_load=0.925_wind=0.6861_0.0901_0.0847,Line 17 - 18,2.1,NSG_2,OverVoltage,1
Line 21 - 22_load=0.925_wind=0.6861_0.0901_0.0847,Line 21 - 22,2.04,Line 23 - 24DR2,,57
Line 22 - 23_load=0.925_wind=0.6861_0.0901_0.0847,Line 22 - 23,2.15,NSG_2,OverVoltage,1
Line 23 - 24_load=0.925_wind=0.6861_0.0901_0.0847,Line 23 - 24,2.21,NSG_2,OverVoltage,1
Line 25 - 26_load=0.925_wind=0.6861_0.0901_0.0847,Line 25 - 26,2.15,NSG_2,OverVoltage,1
Line 26 - 28_load=0.925_wind=0.6861_0.0901_0.0847,Line 26 - 28,2.24,NSG_2,OverVoltage,1
Line 26 - 29_load=0.925_wind=0.6861_0.0901_0.0847,Line 26 - 29,2.46,NSG_2,OverVoltage,18
Line 28 - 29_load=0.925_wind=0.6861_0.0901_0.0847,Line 28 - 29,1.65,Line 26 - 29DR1,,23
Line 01 - 02_load=0.82_wind=0.5221_0.9133_0.7534,Line 01 - 02,1.92,Line 08 - 09DR1,,4
Line 01 - 39_load=0.82_wind=0.5221_0.9133_0.7534,Line 01 - 39,2.1,Line 08 - 09DR1,,4
Line 02 - 25_load=0.82_wind=0.5221_0.9133_0.7534,Line 02 - 25,2.16,NSG_2,OverVoltage,1
Line 08 - 09_load=0.82_wind=0.5221_0.9133_0.7534,Line 08 - 09,2.67,Line 01 - 02DR1,,4
Line 09 - 39_load=0.82_wind=0.5221_0.9133_0.7534,Line 09 - 39,2.79,Line 01 - 39DR2,,3
Line 15 - 16_load=0.82_wind=0.5221_0.9133_0.7534,Line 15 - 16,2.09,NSG_2,OverVoltage,1
Line 16 - 17_load=0.82_wind=0.5221_0.9133_0.7534,Line 16 - 17,2.36,NSG_2,OverVoltage,1
Line 16 - 19_load=0.82_wind=0.5221_0.9133_0.7534,Line 16 - 19,1.76,G 04,Over-Speed,2
Line 28 - 29_load=0.82_wind=0.5221_0.9133_0.7534,Line 28 - 29,2.28,NSG_2,OverVoltage,1
Line 01 - 02_load=0.9329_wind=0.3031_0.3677_0.184,Line 01 - 02,1.68,Line 08 - 09DR1,,3
Line 02 - 25_load=0.9329_wind=0.3031_0.3677_0.184,Line 02 - 25,2.23,NSG_2,OverVoltage,18
Line 03 - 04_load=0.9329_wind=0.3031_0.3677_0.184,Line 03 - 04,1.46,Line 01 - 39DR2,,5
Line 03 - 18_load=0.9329_wind=0.3031_0.3677_0.184,Line 03 - 18,2.14,NSG_2,OverVoltage,1
Line 04 - 05_load=0.9329_wind=0.3031_0.3677_0.184,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9329_wind=0.3031_0.3677_0.184,Line 05 - 08,1.47,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9329_wind=0.3031_0.3677_0.184,Line 06 - 07,1.77,Line 01 - 39DR2,,5
Line 06 - 11_load=0.9329_wind=0.3031_0.3677_0.184,Line 06 - 11,2.24,NSG_2,OverVoltage,4
Line 07 - 08_load=0.9329_wind=0.3031_0.3677_0.184,Line 07 - 08,1.47,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9329_wind=0.3031_0.3677_0.184,Line 08 - 09,1.96,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9329_wind=0.3031_0.3677_0.184,Line 09 - 39,2.13,Line 01 - 02DR1,,4
Line 10 - 11_load=0.9329_wind=0.3031_0.3677_0.184,Line 10 - 11,3.1,Line 01 - 39DR2,,4
Line 10 - 13_load=0.9329_wind=0.3031_0.3677_0.184,Line 10 - 13,1.47,Line 01 - 39DR2,,5
Line 13 - 14_load=0.9329_wind=0.3031_0.3677_0.184,Line 13 - 14,1.47,Line 01 - 39DR2,,5
Line 14 - 15_load=0.9329_wind=0.3031_0.3677_0.184,Line 14 - 15,3.16,Line 01 - 39DR2,,4
Line 15 - 16_load=0.9329_wind=0.3031_0.3677_0.184,Line 15 - 16,2.1,NSG_2,OverVoltage,1
Line 16 - 17_load=0.9329_wind=0.3031_0.3677_0.184,Line 16 - 17,2.02,Line 01 - 39DR2,,5
Line 16 - 19_load=0.9329_wind=0.3031_0.3677_0.184,Line 16 - 19,1.73,G 05,Over-Speed,17
Line 16 - 21_load=0.9329_wind=0.3031_0.3677_0.184,Line 16 - 21,2.14,NSG_2,OverVoltage,18
Line 16 - 24_load=0.9329_wind=0.3031_0.3677_0.184,Line 16 - 24,2.08,NSG_2,OverVoltage,1
Line 17 - 18_load=0.9329_wind=0.3031_0.3677_0.184,Line 17 - 18,2.11,NSG_2,OverVoltage,1
Line 21 - 22_load=0.9329_wind=0.3031_0.3677_0.184,Line 21 - 22,2.05,Line 23 - 24DR2,,74
Line 22 - 23_load=0.9329_wind=0.3031_0.3677_0.184,Line 22 - 23,2.15,NSG_2,OverVoltage,1
Line 23 - 24_load=0.9329_wind=0.3031_0.3677_0.184,Line 23 - 24,2.22,NSG_2,OverVoltage,1
Line 25 - 26_load=0.9329_wind=0.3031_0.3677_0.184,Line 25 - 26,2.15,NSG_2,OverVoltage,1
Line 26 - 28_load=0.9329_wind=0.3031_0.3677_0.184,Line 26 - 28,2.24,NSG_2,OverVoltage,1
